SampleID	Nkx_group	Mitosis_Group	CellOrigin
ips17_C31	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C32	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C33	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C34	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C35	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C36	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C37	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C38	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C39	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C4	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C41	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C42	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C43	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C44	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C45	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C46	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C47	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C48	High NKX2-1 Cells	Mitotic	ips17
ips17_C49	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C5	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C50	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C51	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C52	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C53	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C54	High NKX2-1 Cells	Part_mitotic	ips17
ips17_C55	High NKX2-1 Cells	Part_mitotic	ips17
ips17_C56	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C57	High NKX2-1 Cells	Part_mitotic	ips17
ips17_C58	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C59	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C6	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C60	No_or_Low NKX2-1 Cells	Mitotic	ips17
ips17_C61	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C62	No_or_Low NKX2-1 Cells	Part_mitotic	ips17
ips17_C63	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C64	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C65	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C68	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C69	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C70	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C71	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C72	High NKX2-1 Cells	Mitotic	ips17
ips17_C74	High NKX2-1 Cells	Non_mitotic	ips17
ips17_C77	High NKX2-1 Cells	Mitotic	ips17
ips17_C79	No_or_Low NKX2-1 Cells	Non_mitotic	ips17
ips17_C8	High NKX2-1 Cells	Part_mitotic	ips17
ips17_C81	High NKX2-1 Cells	Non_mitotic	ips17
